epoch, loss(train), loss(val)
1, 0.092186, 0.091151
2, 0.068392, 0.066910
3, 0.063479, 0.062398
4, 0.061129, 0.059985
5, 0.059844, 0.059023
6, 0.059218, 0.058697
7, 0.058431, 0.058154
8, 0.057979, 0.057793
9, 0.058390, 0.058197
10, 0.058588, 0.058616
11, 0.058626, 0.058856
12, 0.058593, 0.058821
13, 0.058297, 0.058489
14, 0.057800, 0.057884
15, 0.057357, 0.057428
16, 0.057339, 0.057450
17, 0.057337, 0.057483
18, 0.056986, 0.057022
19, 0.056294, 0.056174
20, 0.055564, 0.055293
21, 0.055027, 0.054647
22, 0.054641, 0.054187
23, 0.054234, 0.053847
24, 0.053876, 0.053614
25, 0.053533, 0.053425
26, 0.053382, 0.053361
27, 0.053396, 0.053335
28, 0.053311, 0.053309
29, 0.053375, 0.053297
30, 0.053489, 0.053303
31, 0.053513, 0.053279
32, 0.053605, 0.053266
33, 0.053688, 0.053264
34, 0.053541, 0.053130
35, 0.053334, 0.052947
36, 0.052945, 0.052701
37, 0.052590, 0.052501
38, 0.052227, 0.052327
39, 0.052034, 0.052233
40, 0.051949, 0.052178
41, 0.051855, 0.052129
42, 0.051765, 0.052072
43, 0.051708, 0.052032
44, 0.051694, 0.051999
45, 0.051639, 0.051972
46, 0.051627, 0.051953
47, 0.051582, 0.051937
48, 0.051525, 0.051921
